duration,num_final,num_invalid_requests,timeouts,sum_max_threads,sum_num_days,sum_num_cols,sum_bytes_scanned,load
575817.0,0.0,0.0,0.0,57698.0,51289.0,6472.0,8085640.0,60.65625
551830.0,1.0,0.0,0.0,59823.0,49867.0,6722.0,7868699.0,58.46875
570780.0,1.0,0.0,0.0,61899.0,56737.0,6960.0,7114651.0,56.28125
558615.0,0.0,0.0,0.0,58939.0,51108.0,6647.0,6493891.0,54.09375
634577.0,0.0,0.0,0.0,64938.0,65608.0,7277.0,6501269.0,51.427083
582825.0,0.0,0.0,0.0,60484.0,63091.0,6756.0,5022498.0,50.239583
514901.0,0.0,0.0,0.0,56230.0,54462.0,6326.0,5619814.0,52.697917
565575.0,0.0,0.0,0.0,57722.0,53110.0,6471.0,4742598.0,55.15625
596889.0,0.0,0.0,0.0,61883.0,51473.0,6917.0,9963733.0,56.447917
482762.0,0.0,0.0,0.0,52378.0,54662.0,5950.0,5386685.0,57.739583
602182.0,0.0,0.0,0.0,66240.0,55903.0,7489.0,6326974.0,59.03125
481013.0,0.0,0.0,0.0,50730.0,51141.0,5740.0,4807831.0,56.333333
500054.0,1.0,0.0,0.0,55322.0,50210.0,6281.0,5652138.0,53.635417
683027.0,0.0,0.0,0.0,74910.0,44780.0,8362.0,7800755.0,50.9375
736269.0,2.0,0.0,0.0,75546.0,54858.0,8428.0,7723034.0,50.59375
693086.0,0.0,0.0,0.0,72924.0,47832.0,8117.0,5370645.0,51.604167
658903.0,2.0,0.0,0.0,68345.0,50604.0,7618.0,6625506.0,52.614583
708683.0,2.0,0.0,0.0,69975.0,47067.0,7758.0,5157531.0,53.625
614072.0,0.0,0.0,0.0,58970.0,45800.0,6548.0,5653168.0,54.427083
581759.0,0.0,0.0,0.0,63255.0,48510.0,7029.0,4737652.0,55.229167
608871.0,0.0,0.0,0.0,64116.0,43656.0,7123.0,9612513.0,56.385417
560278.0,0.0,0.0,0.0,60076.0,47156.0,6707.0,5087486.0,64.5625
454611.0,0.0,0.0,0.0,51450.0,42541.0,5841.0,4374318.0,62.791667
565244.0,0.0,0.0,0.0,62446.0,43521.0,6996.0,5399959.0,61.020833
569210.0,0.0,0.0,0.0,57996.0,51408.0,6518.0,6745685.0,59.25
550596.0,1.0,0.0,0.0,64437.0,47599.0,7148.0,8474010.0,58.53125
572572.0,1.0,0.0,0.0,59766.0,43207.0,6693.0,7920842.0,57.8125
541612.0,0.0,0.0,0.0,58107.0,46555.0,6523.0,9558707.0,57.09375
583793.0,0.0,0.0,0.0,56934.0,41092.0,6466.0,8056337.0,59.75
531597.0,0.0,0.0,0.0,53489.0,40549.0,6016.0,7709740.0,62.40625
479303.0,0.0,0.0,0.0,49348.0,45907.0,5597.0,9269591.0,65.0625
486388.0,0.0,0.0,0.0,51588.0,39378.0,5855.0,8980278.0,64.34375
536777.0,0.0,0.0,0.0,59818.0,44697.0,6665.0,11473551.0,63.625
507131.0,0.0,0.0,0.0,55316.0,37950.0,6275.0,6355330.0,62.90625
541554.0,0.0,0.0,0.0,52176.0,39778.0,5917.0,7327252.0,59.104167
489579.0,0.0,0.0,0.0,52306.0,37253.0,5894.0,6399242.0,55.302083
501644.0,0.0,0.0,0.0,52870.0,42620.0,5944.0,6163743.0,51.5
646412.0,0.0,0.0,0.0,68034.0,37580.0,7534.0,7146643.0,51.46875
904756.0,1.0,0.0,0.0,76143.0,47309.0,8547.0,8092101.0,54.84375
858681.0,6.0,0.0,0.0,70435.0,50070.0,8021.0,8948515.0,54.197917
897618.0,7.0,0.0,0.0,71526.0,52306.0,8114.0,8744033.0,53.552083
839652.0,0.0,0.0,0.0,71724.0,51374.0,8077.0,8472207.0,52.90625
716279.0,0.0,0.0,0.0,59498.0,48152.0,6751.0,8656389.0,50.666667
660987.0,0.0,0.0,0.0,62604.0,49685.0,7057.0,7414400.0,48.427083
699793.0,0.0,0.0,0.0,66037.0,47108.0,7331.0,12013827.0,46.1875
474436.0,0.0,0.0,0.0,58206.0,38397.0,6501.0,7905225.0,50.520833
536920.0,6.0,0.0,0.0,57383.0,46185.0,6458.0,6874901.0,58.625
513105.0,0.0,0.0,0.0,54858.0,45587.0,6154.0,6885918.0,56.28125
549189.0,6.0,0.0,0.0,61017.0,44532.0,6796.0,7532251.0,53.9375
