duration,num_final,num_invalid_requests,timeouts,sum_max_threads,sum_num_days,sum_num_cols,sum_bytes_scanned,load
530355.0,0.0,0.0,0.0,56879.0,40907.0,6897.0,8590103.0,39.645833
643914.0,0.0,0.0,0.0,63815.0,42611.0,7551.0,13035490.0,40.625
807712.0,0.0,0.0,0.0,70110.0,49922.0,8373.0,11283117.0,39.364583
876921.0,0.0,0.0,0.0,67207.0,52780.0,8197.0,19208053.0,38.104167
786456.0,0.0,0.0,0.0,57478.0,50345.0,7133.0,8329350.0,37.604167
626299.0,0.0,0.0,0.0,50930.0,42108.0,6305.0,5588044.0,38.5625
700948.0,0.0,0.0,0.0,57798.0,38012.0,7130.0,8289241.0,39.645834
641553.0,0.0,0.0,0.0,55390.0,38278.0,6842.0,5526136.0,40.729167
551926.0,0.0,0.0,0.0,48909.0,38460.0,6053.0,7890463.0,41.8125
490388.0,0.0,0.0,0.0,52879.0,38161.0,6448.0,6676445.0,41.65625
449141.0,0.0,0.0,0.0,44459.0,39920.0,5552.0,6607390.0,41.499999
470581.0,0.0,0.0,0.0,50696.0,39272.0,6299.0,6594737.0,41.343749
458198.0,0.0,0.0,0.0,51226.0,39973.0,6259.0,8344858.0,40.010416
483719.0,0.0,0.0,0.0,51136.0,40736.0,6292.0,8491399.0,38.677082
493376.0,0.0,0.0,0.0,52414.0,39754.0,6351.0,7844083.0,37.343749
529170.0,0.0,0.0,0.0,56251.0,38317.0,6714.0,12202179.0,36.15625
475375.0,0.0,0.0,0.0,51245.0,41975.0,6250.0,7499307.0,35.781249
536573.0,0.0,0.0,0.0,52706.0,41566.0,6515.0,8234124.0,37.21875
420704.0,0.0,0.0,0.0,44533.0,36634.0,5536.0,4894265.0,36.010416
452167.0,0.0,0.0,0.0,48251.0,34795.0,5970.0,8654777.0,34.802083
399301.0,0.0,0.0,0.0,42350.0,32596.0,5384.0,5486135.0,33.59375
437597.0,0.0,0.0,0.0,48522.0,33815.0,5937.0,8558977.0,33.510416
478835.0,0.0,0.0,0.0,48028.0,35306.0,5884.0,6098137.0,34.468749
